02011004,020110,Mushirarungu
02011005,020110,Nyarusange
02011006,020110,Runga
02020101,020201,Cyiri
02020102,020201,Gasagara
02020103,020201,Gikonko
02020104,020201,Mbogo
02020201,020202,Gabiro
02020202,020202,Nyabitare
02020203,020202,Nyakibungo
02020204,020202,Nyeranzi
02020301,020203,Akaboti
02020302,020203,Bwiza
02020303,020203,Sabusaro
02020304,020203,Umunini
02020401,020204,Duwani
02020402,020204,Kibirizi
02020403,020204,Muyira
02020404,020204,Ruturo
02020501,020205,Agahabwa
02020502,020205,Gatovu
02020503,020205,Impinga
02020504,020205,Nyabikenke
02020505,020205,Rubona
02020506,020205,Rusagara
02020601,020206,Gakoma
02020602,020206,Kabumbwe
02020603,020206,Mamba
02020604,020206,Muyaga
02020605,020206,Ramba
02020701,020207,Cyumba
02020702,020207,Muganza
02020703,020207,Remera
02020704,020207,Rwamiko
02020705,020207,Saga
02020801,020208,Baziro
02020802,020208,Kibayi
02020803,020208,Kibu
02020804,020208,Mugombwa
02020805,020208,Mukomacara
02020901,020209,Gitega
02020902,020209,Mukiza
02020903,020209,Nyabisagara
02020904,020209,Runyinya
02021001,020210,Bukinanyana
02021002,020210,Gatovu
02021003,020210,Kigarama
02021004,020210,Kimana
02021101,020211,Bweya
02021102,020211,Cyamukuza
02021103,020211,Dahwe
02021104,020211,Gisagara
02021105,020211,Mukande
02021201,020212,Higiro
02021202,020212,Nyamugari
02021203,020212,Nyaruteja
02021204,020212,Umubanga
02021301,020213,Gatoki
02021302,020213,Munazi
02021303,020213,Rwanza
02021304,020213,Shyanda
02021305,020213,Zivu
02030101,020301,Kirarangombe
02030102,020301,Nkanda
02030103,020301,Nteko
02030104,020301,Runyombyi
02030105,020301,Shororo
02030201,020302,Coko
02030202,020302,Cyahinda
02030203,020302,Gasasa
02030204,020302,Muhambara
02030205,020302,Rutobwe
02030301,020303,Gakoma
02030302,020303,Kibeho
02030303,020303,Mbasa
02030304,020303,Mpanda
02030305,020303,Mubuga
02030306,020303,Nyange
02030401,020304,Cyanyirankora
02030402,020304,Gahurizo
02030403,020304,Kimina
02030404,020304,Kivu
02030405,020304,Rugerero
02030501,020305,Gorwe
02030502,020305,Murambi
02030503,020305,Nyamabuye
02030504,020305,Ramba
02030505,020305,Rwamiko
02030601,020306,Muganza
02030602,020306,Rukore
02030603,020306,Samiyonga
02030604,020306,Uwacyiza
02030701,020307,Giheta
02030702,020307,Ngarurira
02030703,020307,Ngeri
02030704,020307,Ntwali
02030705,020307,Nyarure
02030801,020308,Bitare
02030802,020308,Mukuge
02030803,020308,Murama
02030804,020308,Nyamirama
02030805,020308,Nyanza
02030806,020308,Yaramba
02030901,020309,Fugi
02030902,020309,Kibangu
02030903,020309,Kiyonza
02030904,020309,Mbuye
02030905,020309,Nyamirama
02030906,020309,Rubona
02031001,020310,Gihemvu
02031002,020310,Kabere
02031003,020310,Mishungero
02031004,020310,Nyabimata
02031005,020310,Ruhinga
02031101,020311,Maraba
02031102,020311,Mwoya
02031103,020311,Nkakwa
02031104,020311,Nyagisozi
02031201,020312,Gitita
02031202,020312,Kabere
02031203,020312,Remera
02031204,020312,Ruyenzi
02031205,020312,Uwumusebeya
02031301,020313,Gabiro
